tahun;bulan;periode;tinggi gelombang
2013;januari;1;0,15
2013;februari;2;0,16
2013;maret;3;0,21
2013;april;4;0,25
2013;mei;5;0,22
2013;juni;6;0,38
2013;juli;7;0,27
2013;agustus;8;0,24
2013;september;9;0,21
2013;oktober;10;0,23
2013;november;11;0,19
2013;desember;12;0,20
2014;januari;13;0,23
2014;februari;14;0,23
2014;maret;15;0,22
2014;april;16;0,37
2014;mei;17;0,46
2014;juni;18;0,54
2014;juli;19;0,38
2014;agustus;20;0,22
2014;september;21;0,26
2014;oktober;22;0,26
2014;november;23;0,20
2014;desember;24;0,30
2015;januari;25;0,46
2015;februari;26;0,33
2015;maret;27;0,21
2015;april;28;0,20
2015;mei;29;0,19
2015;juni;30;0,19
2015;juli;31;0,20
2015;agustus;32;0,23
2015;september;33;0,28
2015;oktober;34;0,28
2015;november;35;0,22
2015;desember;36;0,21
2016;januari;37;0,14
2016;februari;38;0,29
2016;maret;39;0,17
2016;april;40;0,11
2016;mei;41;0,13
2016;juni;42;0,17
2016;juli;43;0,23
2016;agustus;44;0,20
2016;september;45;0,13
2016;oktober;46;0,17
2016;november;47;0,09
2016;desember;48;0,38
2017;januari;49;0,28
2017;februari;50;0,46
2017;maret;51;0,15
2017;april;52;0,24
2017;mei;53;0,23
2017;juni;54;0,44
2017;juli;55;0,24
2017;agustus;56;0,21
2017;september;57;0,45
2017;oktober;58;0,17
2017;november;59;0,20
2017;desember;60;0,42
2018;januari;61;0,46
2018;februari;62;0,45
2018;maret;63;0,17
2018;april;64;0,17
2018;mei;65;0,15
2018;juni;66;0,21
2018;juli;67;0,22
2018;agustus;68;0,17
2018;september;69;0,13
2018;oktober;70;0,11
2018;november;71;0,09
2018;desember;72;0,07
2019;januari;73;0,28
2019;februari;74;0,42
2019;maret;75;0,20
2019;april;76;0,09
2019;mei;77;0,13
2019;juni;78;0,21
2019;juli;79;0,17
2019;agustus;80;0,17
2019;september;81;0,15
2019;oktober;82;0,13
2019;november;83;0,07
2019;desember;84;0,12
